trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.02, 'e': 0.4147829116815814}",25,0,-4.478846725072816,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.02, 'e': 0.4065696597405991}",20,0,22.914949469418016,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.02, 'e': 0.39851904108451414}",30,17,-2.525955834910871,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.02, 'e': 0.3906278353585211}",30,0,-75.32795663474508,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.02, 'e': 0.38289288597511206}",20,0,-28.018206867578467,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.02, 'e': 0.37531109885139957}",20,11,-17.168250904305975,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.36787944117144233}",20,7,-34.59059126637057,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.02, 'e': 0.3605949401730783}",30,7,-34.826240841598164,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.02, 'e': 0.35345468195878016}",20,12,-28.073870865593552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.02, 'e': 0.3464558103300574}",20,0,25.82558423131316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.02, 'e': 0.3395955256449391}",30,0,-17.807684475897734,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.02, 'e': 0.33287108369807955}",30,10,-77.7404493812302,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
56,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,0,-27.31931980966012,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
